,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
60,0,0,1,0,47,1,1,0,0,1,0,1,1,1,100,4707.1,0,0,1,0,1,0,0,0,0,1,0
61,1,0,0,0,60,1,1,0,1,0,0,1,0,1,89,5450.7,0,0,1,0,1,0,0,1,0,0,0
62,1,0,1,0,72,0,0,1,1,1,0,0,0,0,42,2962.0,0,1,0,0,0,0,1,1,0,0,0
63,0,0,1,1,18,1,0,0,0,1,1,0,0,1,54,957.1,0,1,0,0,0,1,0,0,1,0,0
64,0,0,0,0,9,1,1,0,0,0,0,1,1,0,94,857.25,1,0,1,0,1,0,0,0,0,1,0
65,0,0,0,0,3,1,0,0,1,0,1,1,1,1,75,244.1,0,1,0,0,1,0,0,0,0,1,0
66,1,0,1,0,47,1,1,0,1,0,0,0,0,1,78,3650.35,0,0,1,0,0,1,0,0,0,1,0
67,0,0,0,0,31,1,0,0,1,1,1,1,1,0,79,2497.2,0,1,0,0,0,0,1,0,0,0,1
68,0,0,1,1,50,1,0,0,0,0,0,0,0,0,20,930.9,0,0,0,1,0,0,1,1,0,0,0
69,1,0,0,0,10,1,0,1,0,1,0,0,0,1,79,887.35,0,0,1,0,1,0,0,0,0,0,1
70,1,0,0,0,1,1,0,0,0,0,1,0,0,0,49,49.05,0,1,0,0,1,0,0,0,0,0,1
71,0,0,1,1,52,1,0,0,0,0,0,0,0,1,20,1090.65,0,0,0,1,0,1,0,0,0,1,0
72,1,1,1,1,64,1,1,1,0,1,1,1,1,1,111,7099.0,0,0,1,0,0,0,1,1,0,0,0
73,1,0,1,1,62,1,1,0,0,0,0,0,0,1,24,1424.6,0,0,0,1,0,0,1,1,0,0,0
74,0,0,0,1,3,1,0,1,0,0,1,0,1,1,64,177.4,0,1,0,0,1,0,0,1,0,0,0
75,0,1,0,0,56,1,1,1,1,1,0,1,1,0,110,6139.5,0,0,1,0,0,1,0,0,0,1,0
76,0,0,0,0,46,1,0,0,0,0,0,0,1,0,55,2688.85,0,1,0,0,0,1,0,0,1,0,0
77,0,0,1,1,8,1,0,1,1,0,0,0,0,0,54,482.25,0,1,0,0,1,0,0,0,0,0,1
78,1,1,0,0,30,1,0,1,1,0,0,1,1,1,74,2111.3,0,1,0,0,1,0,0,0,0,1,0
79,0,0,1,1,45,1,1,0,0,0,0,0,0,1,25,1216.6,0,0,0,1,0,1,0,0,1,0,0
80,0,0,0,1,1,1,0,0,0,0,0,1,0,1,79,79.35,1,0,1,0,1,0,0,0,0,1,0
81,0,0,1,1,11,0,0,1,0,0,0,1,1,0,50,565.35,0,1,0,0,1,0,0,0,0,1,0
82,0,0,1,0,7,1,0,0,0,1,0,0,0,1,75,496.9,1,0,1,0,1,0,0,1,0,0,0
83,0,0,0,0,42,1,0,0,1,1,1,1,1,1,103,4327.5,0,0,1,0,1,0,0,1,0,0,0
84,0,0,1,0,49,1,0,0,0,0,0,0,0,1,20,973.35,0,0,0,1,0,0,1,1,0,0,0
85,1,0,0,0,9,1,1,0,1,0,0,1,1,1,99,918.75,0,0,1,0,1,0,0,0,1,0,0
86,0,0,1,0,35,1,0,1,0,0,0,1,0,1,62,2215.45,0,1,0,0,0,1,0,1,0,0,0
87,0,0,1,1,48,1,0,0,0,0,0,0,0,0,20,1057.0,0,0,0,1,0,0,1,1,0,0,0
88,0,0,1,1,46,1,0,0,0,0,0,0,0,1,19,927.1,0,0,0,1,0,0,1,0,0,0,1
89,1,0,1,0,29,0,0,0,0,0,0,1,0,0,33,1009.25,0,1,0,0,1,0,0,0,0,0,1
90,1,0,1,1,30,1,0,0,1,1,0,0,0,0,82,2570.2,0,0,1,0,1,0,0,1,0,0,0
91,1,1,0,0,1,1,0,0,0,0,1,0,0,0,74,74.7,0,0,1,0,1,0,0,0,0,1,0
92,1,0,1,1,66,1,1,1,0,1,1,1,1,1,84,5714.25,0,1,0,0,0,0,1,0,0,0,1
93,0,0,0,0,65,1,1,1,1,1,0,1,1,1,111,7107.0,0,0,1,0,1,0,0,0,1,0,0
94,1,0,0,0,72,1,1,0,1,1,0,1,1,1,100,7459.05,0,0,1,0,0,0,1,1,0,0,0
95,0,0,0,0,12,1,1,1,0,0,0,0,0,1,78,927.35,1,0,1,0,1,0,0,0,0,1,0
96,1,0,1,1,71,1,1,1,1,0,1,0,0,1,66,4748.7,0,1,0,0,0,1,0,0,1,0,0
97,1,0,0,0,5,1,0,0,0,0,0,0,0,0,21,113.85,1,0,0,1,1,0,0,0,0,0,1
98,1,0,0,0,52,1,0,0,0,0,0,0,0,0,21,1107.2,0,0,0,1,0,0,1,1,0,0,0
99,0,1,1,0,25,1,0,0,1,1,0,1,1,1,98,2514.5,1,0,1,0,1,0,0,0,0,1,0
100,1,0,0,0,1,1,0,0,0,0,0,0,0,0,20,20.2,0,0,0,1,1,0,0,0,0,0,1
101,0,0,1,1,1,1,0,0,0,0,0,0,0,0,19,19.45,0,0,0,1,1,0,0,0,0,1,0
102,1,0,0,0,38,1,1,0,0,1,1,1,0,0,95,3605.6,0,0,1,0,0,1,0,1,0,0,0
103,0,1,1,0,66,0,0,0,1,1,0,1,0,0,45,3027.25,0,1,0,0,0,1,0,1,0,0,0
104,1,0,1,0,68,1,1,0,1,1,1,1,1,1,110,7611.85,1,0,1,0,0,0,1,1,0,0,0
105,1,0,0,0,5,0,0,0,0,0,0,0,0,0,24,100.2,0,1,0,0,1,0,0,0,0,0,1
106,0,0,1,1,72,1,1,1,1,0,0,1,1,1,104,7303.05,0,0,1,0,0,1,0,0,0,1,0
107,0,0,0,0,32,0,0,1,0,0,0,0,0,0,30,927.65,0,1,0,0,0,1,0,0,0,0,1
108,1,0,0,0,43,1,1,0,0,0,0,1,1,0,94,3921.3,0,0,1,0,0,1,0,0,0,0,1
109,1,0,1,1,72,1,0,0,0,0,0,0,0,0,19,1363.25,0,0,0,1,0,0,1,0,1,0,0
110,1,0,1,0,55,1,1,1,1,0,0,1,0,1,96,5238.9,1,0,1,0,1,0,0,0,0,1,0
111,0,0,0,0,52,1,0,1,0,1,1,0,0,0,57,3042.25,0,1,0,0,0,1,0,0,1,0,0
112,0,0,0,0,43,1,0,0,1,1,0,1,0,1,91,3954.1,0,0,1,0,1,0,0,0,0,1,0
113,0,1,1,0,37,1,1,0,0,0,0,0,0,1,76,2868.15,1,0,1,0,1,0,0,0,0,1,0
114,0,0,1,1,64,0,0,0,1,0,1,1,1,1,54,3423.5,0,1,0,0,0,0,1,0,0,1,0
115,1,0,1,1,3,1,0,1,1,0,0,1,0,0,89,248.4,0,0,1,0,1,0,0,0,0,1,0
116,0,0,0,0,36,0,0,1,0,0,0,0,0,0,31,1126.35,0,1,0,0,0,0,1,1,0,0,0
117,0,0,1,1,10,1,1,1,0,0,0,1,1,1,100,1064.65,1,0,1,0,1,0,0,0,0,1,0
118,0,0,0,0,41,1,0,0,0,0,0,0,0,0,20,835.15,0,0,0,1,0,0,1,0,0,0,1
119,1,0,1,1,27,1,1,0,1,0,1,0,0,1,85,2151.6,0,0,1,0,1,0,0,0,1,0,0
120,0,0,1,1,56,1,1,0,0,1,0,1,1,1,99,5515.45,0,0,1,0,0,1,0,0,1,0,0
121,0,0,0,0,6,1,0,0,0,0,0,0,0,0,20,112.75,0,0,0,1,1,0,0,0,0,0,1
122,1,0,0,0,3,1,1,0,0,0,0,0,0,1,74,229.55,1,0,1,0,1,0,0,0,0,1,0
123,0,0,1,1,7,1,0,1,0,0,0,0,0,0,50,350.35,0,1,0,0,1,0,0,0,0,0,1
124,0,0,1,1,4,1,0,0,0,0,0,0,0,0,20,62.9,0,0,0,1,1,0,0,0,0,0,1
125,1,0,0,0,33,1,0,1,0,0,1,1,0,1,88,3027.65,0,0,1,0,0,0,1,0,0,1,0
126,0,1,0,0,27,1,1,0,0,1,0,0,0,1,78,2135.5,1,0,1,0,1,0,0,0,0,1,0
127,1,0,1,0,72,1,1,0,0,0,0,0,0,1,23,1723.95,0,0,0,1,0,0,1,1,0,0,0
128,1,0,0,0,1,1,0,0,0,0,0,0,0,0,19,19.75,0,0,0,1,1,0,0,0,0,0,1
129,1,1,0,0,71,0,0,1,1,0,0,1,1,1,56,3985.35,0,1,0,0,0,1,0,0,0,1,0
130,0,0,0,0,13,1,1,0,0,0,0,0,1,1,85,1215.65,0,0,1,0,1,0,0,0,0,1,0
131,0,0,1,1,25,0,0,1,1,1,0,1,1,1,58,1502.65,1,1,0,0,1,0,0,0,1,0,0
132,1,0,0,0,67,1,0,0,0,0,1,0,0,0,50,3260.1,0,1,0,0,0,0,1,1,0,0,0
133,1,0,0,0,1,0,0,0,0,0,0,0,1,1,35,35.45,1,1,0,0,1,0,0,0,0,1,0
134,1,0,0,0,2,1,0,0,0,0,0,0,0,0,44,81.25,1,1,0,0,1,0,0,0,0,1,0
135,0,0,0,0,43,1,1,0,0,0,0,0,0,1,25,1188.2,0,0,0,1,0,0,1,0,1,0,0
136,0,0,0,0,23,1,0,1,0,0,0,0,0,1,75,1778.5,0,0,1,0,1,0,0,1,0,0,0
137,0,0,1,1,64,1,0,0,0,0,0,0,0,0,20,1277.75,0,0,0,1,0,0,1,0,0,0,1
138,1,0,0,1,57,1,0,0,0,0,0,0,0,1,19,1170.55,0,0,0,1,0,0,1,0,0,0,1
139,0,1,1,0,1,1,0,0,0,0,0,0,0,1,70,70.45,1,0,1,0,1,0,0,0,0,0,1
140,0,1,1,1,72,1,1,1,1,1,1,1,1,1,88,6425.65,0,1,0,0,0,0,1,0,1,0,0
141,0,0,0,0,8,1,1,1,0,0,1,0,1,0,71,563.65,1,1,0,0,1,0,0,0,0,1,0
142,0,0,1,0,61,1,1,0,1,0,0,1,1,1,101,5971.25,0,0,1,0,0,0,1,1,0,0,0
143,1,0,0,0,64,1,1,1,1,0,0,0,0,1,84,5289.05,0,0,1,0,0,1,0,0,1,0,0
144,1,1,1,0,71,1,1,0,0,0,0,0,0,0,23,1756.2,0,0,0,1,0,0,1,1,0,0,0
145,0,0,1,1,65,1,1,1,1,0,1,1,0,1,99,6416.7,0,0,1,0,0,0,1,0,1,0,0
146,1,0,0,0,3,1,0,0,0,0,0,0,0,0,19,61.35,0,0,0,1,0,1,0,0,0,0,1
147,1,0,0,0,1,1,0,0,0,0,0,0,0,1,45,45.65,1,1,0,0,1,0,0,0,0,1,0
148,1,0,0,1,30,1,0,0,1,1,0,1,0,0,64,1929.95,0,1,0,0,0,1,0,0,1,0,0
149,1,0,1,1,15,1,0,0,1,1,1,0,1,1,69,1071.4,0,1,0,0,1,0,0,0,0,0,1
150,0,0,1,1,8,1,0,0,0,0,1,1,1,1,68,564.35,0,1,0,0,1,0,0,0,0,1,0
151,1,0,0,0,7,1,1,0,0,0,0,1,1,0,95,655.5,1,0,1,0,1,0,0,0,0,0,1
152,0,0,1,1,70,1,1,1,1,1,0,1,1,1,108,7930.55,0,0,1,0,0,1,0,0,1,0,0
153,1,0,1,1,62,1,0,1,1,1,1,1,1,0,86,5215.25,0,1,0,0,0,0,1,0,0,1,0
154,0,0,1,1,6,1,0,0,0,0,0,0,0,0,19,113.5,0,0,0,1,1,0,0,0,0,0,1
155,0,0,1,1,14,1,0,0,0,0,0,0,1,1,80,1152.8,0,0,1,0,1,0,0,1,0,0,0
156,0,0,0,0,22,1,1,0,0,0,0,1,0,1,84,1821.95,0,0,1,0,1,0,0,1,0,0,0
157,1,0,1,1,22,1,0,0,0,0,0,0,0,0,20,419.9,0,0,0,1,0,1,0,0,0,0,1
158,1,0,1,1,16,1,0,1,0,1,0,1,0,0,64,1024.0,0,1,0,0,0,0,1,0,0,0,1
159,1,0,0,0,10,1,1,0,0,0,0,0,0,0,25,251.6,0,0,0,1,0,0,1,1,0,0,0
160,0,0,0,1,13,1,0,1,1,0,0,0,0,1,56,764.55,0,1,0,0,1,0,0,0,0,1,0
161,0,0,1,0,20,1,1,1,0,0,0,0,0,0,82,1592.35,1,0,1,0,1,0,0,0,0,1,0
162,0,0,0,0,2,1,0,0,0,0,0,0,0,1,69,135.2,0,0,1,0,1,0,0,0,0,1,0
163,1,0,0,0,53,1,1,0,1,1,1,0,1,1,73,3958.25,0,1,0,0,0,0,1,1,0,0,0
164,0,0,1,1,11,1,0,0,0,0,0,0,0,0,20,233.9,0,0,0,1,0,1,0,0,0,0,1
165,1,0,1,0,69,1,0,0,0,0,0,0,0,0,19,1363.45,0,0,0,1,0,0,1,0,0,0,1
166,0,0,0,0,4,1,0,0,0,0,0,0,0,1,70,273.0,1,0,1,0,1,0,0,1,0,0,0
167,1,0,1,0,72,1,1,1,1,1,1,1,1,1,89,6254.45,0,1,0,0,0,0,1,1,0,0,0
168,1,1,1,0,58,0,0,0,1,1,0,0,1,1,45,2651.2,1,1,0,0,1,0,0,0,0,1,0
169,0,0,1,1,16,1,0,0,0,0,0,0,0,0,20,321.4,0,0,0,1,1,0,0,0,0,1,0
170,1,0,1,0,43,1,0,1,0,1,1,0,0,1,84,3539.25,0,0,1,0,0,1,0,1,0,0,0
171,0,0,1,0,2,1,1,0,0,1,1,1,1,1,104,242.8,1,0,1,0,1,0,0,0,0,1,0
172,1,0,1,0,14,1,0,0,1,1,1,1,1,0,81,1181.75,0,1,0,0,0,0,1,0,0,0,1
173,0,0,1,0,53,1,0,0,0,1,0,1,1,1,94,5000.2,1,0,1,0,0,1,0,1,0,0,0
174,0,0,0,0,32,1,0,0,0,0,0,0,0,0,20,654.55,0,0,0,1,0,1,0,1,0,0,0
175,0,0,1,0,34,1,1,0,0,0,0,0,0,0,24,780.2,0,0,0,1,1,0,0,0,0,1,0
176,0,1,0,0,15,1,1,0,0,0,0,0,0,1,74,1145.7,1,0,1,0,1,0,0,0,0,0,1
177,0,1,0,0,7,1,0,1,0,0,0,0,0,0,76,503.6,1,0,1,0,1,0,0,1,0,0,0
178,0,0,1,1,15,1,1,0,1,1,0,1,1,1,105,1559.25,0,0,1,0,1,0,0,1,0,0,0
179,1,0,1,0,61,1,0,0,0,0,0,0,0,1,20,1252.0,0,0,0,1,0,1,0,0,1,0,0
180,0,0,0,0,1,0,0,0,1,0,0,0,0,0,29,29.95,1,1,0,0,1,0,0,1,0,0,0
181,0,0,0,0,1,1,0,0,0,0,0,0,0,0,45,45.3,0,1,0,0,1,0,0,0,0,0,1
182,1,0,0,0,8,1,1,0,0,0,0,0,1,0,84,662.65,1,0,1,0,1,0,0,1,0,0,0
183,1,0,1,1,33,1,0,1,0,1,0,1,1,0,74,2453.3,0,1,0,0,0,1,0,0,1,0,0
184,0,0,0,0,13,1,0,0,1,1,0,0,0,1,79,1111.65,1,0,1,0,1,0,0,0,0,1,0
185,0,0,1,0,1,0,0,0,0,0,0,0,0,1,24,24.8,1,1,0,0,1,0,0,0,0,1,0
186,1,0,0,0,20,1,0,0,1,0,0,0,0,1,51,1023.85,0,1,0,0,1,0,0,0,0,0,1
187,1,0,0,0,3,0,0,0,0,0,1,0,0,0,30,82.15,0,1,0,0,1,0,0,0,0,1,0
188,0,0,0,0,13,1,0,0,0,0,0,0,0,0,19,244.8,0,0,0,1,0,1,0,0,0,1,0
189,0,0,1,0,40,1,1,0,1,0,0,0,0,0,56,2379.1,0,1,0,0,1,0,0,0,1,0,0
190,1,0,1,1,43,1,1,1,0,0,1,0,1,1,71,3173.35,0,1,0,0,0,1,0,0,1,0,0
191,1,0,1,0,6,1,0,0,1,1,0,0,1,1,91,531.0,1,0,1,0,1,0,0,0,0,1,0
192,0,0,1,1,69,1,0,0,0,0,0,0,0,0,19,1375.4,0,0,0,1,0,0,1,1,0,0,0
193,0,0,1,1,72,1,1,1,1,1,0,1,1,0,109,8129.3,0,0,1,0,0,0,1,0,1,0,0
194,1,0,1,1,59,1,0,0,0,0,0,0,0,0,19,1192.7,0,0,0,1,0,0,1,0,1,0,0
195,0,0,1,0,20,1,0,1,1,0,1,1,0,1,96,1901.65,0,0,1,0,1,0,0,0,0,1,0
196,1,0,1,1,24,1,1,0,0,0,0,0,0,1,24,587.4,0,0,0,1,0,0,1,1,0,0,0
197,1,0,0,0,59,1,1,0,1,1,1,1,1,1,111,6519.75,0,0,1,0,1,0,0,0,0,1,0
198,1,0,1,1,72,1,1,0,1,1,1,1,1,1,112,8041.65,0,0,1,0,0,0,1,1,0,0,0
199,1,0,0,1,1,1,0,0,0,0,0,0,0,0,20,20.75,0,0,0,1,1,0,0,0,0,0,1
200,0,0,1,0,27,1,0,1,0,0,1,1,1,1,101,2681.15,0,0,1,0,0,1,0,0,1,0,0
201,0,0,0,0,14,1,0,0,1,0,1,0,0,1,80,1112.3,0,0,1,0,1,0,0,0,1,0,0
202,1,0,1,1,71,1,1,1,0,1,0,1,1,0,105,7405.5,0,0,1,0,0,0,1,0,0,1,0
203,1,0,0,1,13,1,0,0,0,0,0,1,0,1,78,1033.95,0,0,1,0,1,0,0,0,1,0,0
204,1,0,0,0,44,1,0,0,0,0,0,0,0,0,68,2958.95,0,0,1,0,1,0,0,0,1,0,0
205,0,0,0,0,33,1,0,0,1,0,1,0,0,1,79,2684.85,0,0,1,0,0,1,0,1,0,0,0
206,1,0,1,1,72,0,0,1,1,1,1,0,1,1,55,4179.2,0,1,0,0,0,0,1,0,1,0,0
207,1,0,0,0,1,1,0,0,0,0,0,0,1,0,79,79.9,1,0,1,0,1,0,0,0,0,1,0
208,0,0,0,0,19,1,0,1,0,1,1,1,1,1,106,1934.45,1,0,1,0,1,0,0,0,0,1,0
209,1,0,1,0,64,1,0,0,1,1,1,1,1,1,102,6654.1,0,0,1,0,0,1,0,0,1,0,0
210,1,0,0,0,2,1,0,0,0,0,0,0,0,1,46,84.5,1,1,0,0,1,0,0,0,1,0,0
211,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,25.25,0,1,0,0,1,0,0,0,0,1,0
212,1,0,0,1,61,1,0,0,0,0,0,0,0,0,19,1124.2,0,0,0,1,0,0,1,0,0,0,1
213,0,0,1,1,29,1,0,0,0,0,0,0,0,0,20,540.05,0,0,0,1,0,1,0,0,0,1,0
214,1,1,1,0,23,1,1,0,0,0,0,0,1,0,86,1975.85,0,0,1,0,1,0,0,0,0,1,0
215,0,0,1,0,57,0,0,1,1,1,0,1,1,1,58,3437.45,0,1,0,0,1,0,0,1,0,0,0
216,1,0,1,1,72,0,0,1,1,1,1,0,0,0,45,3139.8,0,1,0,0,0,0,1,0,1,0,0
217,1,0,1,0,66,0,0,1,1,1,1,1,0,1,56,3789.2,0,1,0,0,0,0,1,1,0,0,0
218,1,0,1,1,65,1,1,0,1,1,1,1,1,1,84,5324.5,0,1,0,0,0,0,1,1,0,0,0
219,0,0,0,0,8,1,0,0,0,0,0,1,0,1,80,624.6,0,0,1,0,1,0,0,1,0,0,0
220,0,0,0,0,4,1,0,0,0,0,0,0,0,1,70,268.35,1,0,1,0,1,0,0,0,0,1,0
221,0,0,1,0,71,1,1,0,0,0,0,0,0,0,24,1836.9,0,0,0,1,0,0,1,1,0,0,0
222,1,0,1,1,1,1,0,0,0,0,0,0,0,1,20,20.2,0,0,0,1,0,1,0,0,0,1,0
223,1,0,1,0,4,1,0,0,0,0,1,0,0,0,50,179.35,1,1,0,0,1,0,0,0,0,0,1
224,0,0,0,0,12,1,0,0,0,0,0,0,0,1,19,219.35,0,0,0,1,0,1,0,1,0,0,0
225,1,0,0,0,24,0,0,1,0,0,0,1,1,1,50,1288.75,0,1,0,0,0,1,0,0,0,0,1
226,0,0,1,1,31,1,0,1,0,1,1,1,1,1,81,2545.75,0,1,0,0,0,1,0,0,0,0,1
227,0,0,1,0,1,1,0,0,0,0,0,1,0,0,55,55.2,1,1,0,0,1,0,0,0,0,0,1
228,1,0,0,0,30,1,1,0,0,0,1,0,1,1,89,2723.15,0,0,1,0,1,0,0,0,1,0,0
229,0,0,1,1,47,1,1,1,1,0,1,1,1,1,85,4107.25,0,1,0,0,0,0,1,0,1,0,0
